Stein,Herkunft,Besonderheit,Qualität,Farbe,transparent,Schliff,Cut/Rough,Karat,Abmessung,Anmerkung,Versand, Preis,Anzahl,Summe  Karat,Preis/Karat,,,,,,,,,
Tansanit,Tansania,,VVS,,transparent,Oval,Cut,"2,38","9,78x7,09x4,82","105,85","44,47",,,,,1,,,,,,,,"158,78"
Tansanit,Tansania,,VVS,,transparent,Oktagon,Cut,"2,4","

9.26 x 6.55 x 3.84","54,67","22,78",,,,,1,,,,,,,,"82,01"
Tansanit,Tansania,2x,IF ,,transparent,Oval,Cut,"2,4","8,06x6,13x2,83","62,4",26,,,,,1,,,,,,,,"93,6"
Tansanit,Tansania,,VVS,Blau-violett,transparent,oval,Cut,"2,42","8,2x6,1x5,6",24,"9,92",,"29,99",,,1,,,,,,,,36
Tansanit,Tansania,,IF ,,transparent,oval,Cut,"2,52","8,7x6,5x5,9","311,85","123,75",,,,,1,,,,,,,,"467,78"
Tansanit,Tansania,,VVS,,transparent,Tropfen,Cut,"2,6",8.81 x 8.96 x 5.13,"47,55","18,29",, ,,,1,,,,,,,,"71,33"
Tansanit,Tansania,,VVS,,transparent,Smaragd,Cut,"2,68","9,65x6,05x4,35","32,07","11,97",,,,,1,,,,,,,,"48,11"
Tansanit,Tansania,,VVS,,transparent,Kissen,Cut,"2,69","10,47x7,31x4,26","100,29","37,28",,,,,1,,,,,,,,"150,44"
Tansanit,Tansania,,VVS,gelb,transparent,Oval,Cut,"2,71","7,10x10,05x5,25","116,82","43,11",,,,,1,,,,,,,,"175,23"
Tansanit,Tansania,,IF ,,transparent,oval,Cut,"2,77","10,54x7,47x4,81","132,95",48,'–,'–,,,1,,,,,,,,"199,43"
Tansanit,Tansania,,IF ,,transparent,Kissen,Cut,"2,84","7,93x7,85x5,78","138,38","48,73",,152,,,1,,,,,,,,"207,57"
Tansanit,Tansania,,IF ,,transparent,oval,Cut,3,10.51 x 8.12 x 4.90 ,"128,36","42,79",,,,,1,,,,,,,,"192,54"
Tansanit,Tansania,,IF ,,transparent,Trilliant,Cut,"3,2","10,80x11,00x4,70","130,04","40,64",,240,,,1,,,,,,,,"195,06"
Tansanit,Tansania,,VVS,,transparent,Tropfen,Cut,"3,2","12,5x8,5x4,7","89,53","27,98",Ebay 31.12.23,180,576,,1,,,,,,,,"134,3"
Tansanit,Tansania,,VVS,,transparent,Oval,Cut,"3,29","10,7x7,8x5,4","236,74","71,96",,,,,1,,,,,,,,"355,11"
Tansanit,Tansania,,IF ,,transparent,Oval,Cut,"3,34","10,13x7,84x5,97","105,91","31,71",Ebay 31.12.23,150,501,,1,,,,,,,,"158,87"
Tansanit,Tansania,,VVS,,transparent,Rund,Cut,"3,6",,"267,66","74,35",,,,,1,,,,,,,,"401,49"
Tansanit,Tansania,,VVS,Blau-violett,transparent,Tropfen,Cut,"3,72","10,9x8,2x6,1",250,"67,2",,,,,1,,,,,,,,375
Tansanit,Tansania,,VVS,Blau-violett,transparent,Oval,Cut,"3,73",11x8x6,185,"49,6",899,550,,,1,,,,,,,,"277,5"
